,Carat,table,depth,x,y,z,cut,color,clarity,price
42199,0.56,61.0,61.76785962072156,5.31,5.29,3.24,Premium,G,SI1,1287
42199,0.56,61.0,61.76785962072156,5.31,5.29,3.24,Premium,G,SI1,1287
18441,1.11,57.6,61.5,6.66,6.7,3.537891143452734,Very Good,G,VS1,7503
19610,0.7983089555010006,58.0,62.6,7.38,7.41,4.63,Ideal,I,SI2,8228
15586,1.5,59.0,61.1,7.41,7.35,4.51,Premium,H,SI2,6250
53817,0.71,59.0,61.3,5.69,5.73,3.5,Very Good,E,SI1,2735
31191,0.4,57.42490893754073,63.5,4.7,4.69,2.98,Very Good,J,VS1,756
21311,1.52,59.0,62.1,7.3,7.35,4.55,Ideal,I,VS2,9465
21311,1.52,59.0,62.1,7.3,7.35,4.55,Ideal,I,VS2,9465
21311,1.52,59.0,62.1,7.3,7.35,4.55,Ideal,I,VS2,9465
14819,1.0,59.0,63.0,6.45,5.734447312568118,4.02,Premium,G,SI1,5967
45022,0.54,57.0,62.7,5.23,5.17,3.26,Ideal,H,VS1,1637
45026,0.54,57.0,60.4,5.33,5.26,3.2,Ideal,G,VS2,1637
45026,0.54,57.0,60.4,5.33,5.26,3.2,Ideal,G,VS2,1637
33030,0.3,55.0,62.2,4.32,4.33,2.69,Ideal,D,VVS2,814
14282,1.24,59.4,62.4,6.81,6.89,4.27,Very Good,J,VS1,5783
7870,0.9,60.0,63.7,6.02,5.98,3.82,Good,G,VS2,4309
40567,0.57,55.0,61.5,5.35,5.38,3.3,Ideal,H,SI2,1151
14913,2.03,57.0,66.6,7.81,7.75,5.19,Ideal,H,I1,6002
18360,0.37,59.0,61.6,4.62,4.67,2.86,Premium,F,SI1,616
17779,1.51,59.0,62.6,7.28,7.31,4.57,Ideal,I,SI2,7162
44345,0.55,55.0,61.2,5.28,5.3,3.24,Ideal,F,VS2,1580
4873,1.02,58.0,60.8,6.48,6.45,3.93,Premium,H,SI2,3713
34076,0.36,56.0,61.0,4.59,4.63,2.81,Ideal,D,VS2,852
46332,0.56,59.0,63.0,5.24,5.27,3.31,Good,F,VS1,1758
20927,1.0,60.0,61.6,6.41,6.45,3.96,Very Good,E,VVS2,9139
50656,0.7983089555010006,58.0,63.5,4.22,4.29,2.7,Good,G,VS2,544
33780,0.32,56.0,61.9,4.39,4.4,2.72,Ideal,G,VVS1,842
11265,1.05,57.0,63.4,6.48,6.45,4.1,Very Good,H,VS1,4969
19723,1.21,56.0,61.5,6.83,6.88,4.22,Ideal,G,VS2,8294
36524,0.4,59.0,62.8,4.72,4.71,2.96,Ideal,F,SI1,945
15839,0.7983089555010006,58.0,61.2,6.47,6.33,3.92,Premium,G,VS1,6335
40402,0.55,58.0,60.4,5.29,5.34,3.21,Ideal,J,VS2,1133
40402,0.55,58.0,60.4,5.29,5.34,3.21,Ideal,J,VS2,1133
43554,0.52,57.0,61.2,5.18,5.22,3.18,Ideal,D,SI1,1429
41549,0.7983089555010006,56.0,61.1,4.84,4.82,2.95,Ideal,G,VVS1,1235
41549,0.7983089555010006,56.0,61.1,4.84,4.82,2.95,Ideal,G,VVS1,1235
25021,0.7983089555010006,57.0,61.7,4.29,5.734447312568118,2.66,Ideal,E,SI1,640
15051,0.3,56.0,59.9,4.37,4.41,2.63,Ideal,G,VS1,605
45741,0.5,57.0,61.5,5.08,5.1,3.537891143452734,Ideal,E,SI1,1700
2020,0.78,56.0,60.7,5.97,6.03,3.64,Ideal,I,VS1,3105
22116,1.52,58.0,62.5,7.28,5.734447312568118,4.57,Very Good,H,SI1,10145
17282,1.5,55.0,64.8,7.26,7.15,4.67,Fair,E,SI2,6922
40049,0.38,62.0,60.5,4.74,4.65,2.84,Premium,E,VS2,1112
4458,0.73,58.0,60.0,5.86,5.9,3.53,Premium,D,VS1,3620
39422,0.7983089555010006,56.0,61.8,4.79,4.75,2.95,Ideal,F,SI1,1076
39422,0.7983089555010006,56.0,61.8,4.79,4.75,2.95,Ideal,F,SI1,1076
51350,0.78,54.0,63.7,5.82,5.77,3.69,Good,E,SI2,2363
45180,0.51,58.0,62.9,5.05,5.1,3.19,Very Good,G,VS1,1656
49264,0.62,60.0,61.76785962072156,5.65,5.7,3.24,Fair,F,VVS2,2088
30229,0.33,56.0,61.9,4.4,4.45,2.74,Ideal,E,VS2,723
24492,2.05,57.42490893754073,60.3,8.25,8.21,4.96,Premium,I,VS1,12766
17140,1.0,56.9,63.8,6.29,6.36,4.04,Very Good,F,VS2,6841
18748,1.15,57.0,61.4,6.7,6.78,4.14,Very Good,D,VS2,7662
40524,0.5,56.0,62.4,5.08,5.12,3.18,Very Good,F,SI2,1147
8266,0.9,57.0,63.3,6.07,6.12,3.86,Good,D,SI1,4381
8266,0.9,57.0,63.3,6.07,6.12,3.86,Good,D,SI1,4381
38856,0.4,57.42490893754073,62.7,4.72,4.69,2.95,Premium,G,VVS2,1050
11954,0.7983089555010006,58.0,59.5,6.64,6.58,3.93,Premium,H,SI1,5134
47536,0.57,58.0,60.3,5.36,5.39,3.24,Very Good,F,VS1,1871
13914,0.7983089555010006,57.42490893754073,61.2,5.729355091583495,6.47,3.95,Ideal,H,SI1,5664
36878,0.42,56.0,61.7,5.729355091583495,4.82,2.97,Ideal,E,VS2,958
34324,0.39,62.0,61.3,4.71,4.68,2.88,Premium,F,SI1,860
1172,0.74,58.0,61.0,5.82,5.85,3.56,Very Good,E,SI1,2929
32385,0.32,56.0,62.2,4.37,4.41,2.73,Ideal,D,VVS2,790
10485,1.02,60.0,62.0,6.37,6.4,3.96,Premium,H,SI1,4796
29977,0.35,55.0,61.5,5.729355091583495,4.57,2.8,Ideal,I,IF,715
7806,1.03,58.0,63.4,6.36,6.42,4.05,Very Good,J,VS1,4292
48792,0.8,59.0,60.2,6.07,5.95,3.62,Ideal,J,SI2,2022
23512,1.86,57.0,62.3,7.85,7.82,4.88,Premium,H,SI2,11520
23371,0.7983089555010006,56.0,62.4,4.44,4.41,3.537891143452734,Ideal,D,SI2,631
24309,2.04,59.0,59.1,8.29,8.24,4.88,Ideal,J,SI1,12554
14314,0.7983089555010006,56.0,61.6,6.55,6.59,4.05,Ideal,E,SI1,5798
18122,1.0,61.0,62.3,6.38,6.33,3.96,Premium,F,VS1,7336
12491,1.08,56.0,61.8,6.55,6.58,4.06,Ideal,G,SI1,5256
36395,0.53,58.0,63.6,5.08,5.11,3.24,Good,I,SI2,942
39504,0.51,57.0,62.5,5.04,5.08,3.16,Ideal,J,VS2,1080
39504,0.51,57.0,62.5,5.04,5.08,3.16,Ideal,J,VS2,1080
20362,1.51,57.42490893754073,63.0,7.26,7.31,4.59,Very Good,I,SI1,8758
2300,0.9,55.0,63.0,6.1,6.16,3.86,Very Good,H,SI2,3162
39108,0.41,60.0,62.6,4.77,4.75,2.98,Premium,H,VS1,1061
49779,0.7,59.0,62.6,5.64,5.7,3.55,Very Good,F,SI1,2161
27926,0.38,59.0,61.3,4.68,4.62,2.85,Premium,J,SI1,658
45530,0.56,55.9,61.1,5.33,5.35,3.26,Ideal,F,SI1,1685
18548,1.18,57.0,62.0,5.729355091583495,6.77,4.21,Ideal,F,VS2,7560
44619,0.57,56.0,61.8,5.3,5.35,3.29,Ideal,G,VS2,1608
53264,0.7,57.0,62.2,5.69,5.66,3.53,Premium,G,VS1,2648
53264,0.7,57.0,62.2,5.69,5.66,3.53,Premium,G,VS1,2648
53376,0.61,56.0,61.76785962072156,5.44,5.49,3.36,Ideal,F,VVS2,2660
28390,0.33,57.0,60.7,4.5,4.46,2.72,Ideal,H,VS2,668
9493,1.05,58.0,61.9,6.45,6.5,4.01,Premium,H,SI1,4608
49113,0.6,63.0,58.1,5.53,5.63,3.24,Good,E,VS1,2065
21802,1.57,61.0,62.9,7.41,7.37,4.65,Premium,D,SI2,9875
1467,0.9,63.0,58.7,6.2,6.23,3.65,Good,E,SI2,2982
32145,0.32,60.0,61.8,4.36,4.41,2.71,Very Good,F,VVS2,786
34308,0.29,57.0,60.9,4.32,4.29,2.62,Ideal,F,VVS1,858
21391,1.11,57.0,61.6,5.729355091583495,6.74,4.14,Ideal,G,VVS2,9507
43500,0.54,56.0,61.3,5.22,5.25,3.21,Ideal,E,SI1,1422
43500,0.54,56.0,61.3,5.22,5.25,3.21,Ideal,E,SI1,1422
11800,1.18,56.0,62.8,5.729355091583495,6.71,4.22,Premium,I,SI1,5088
36121,0.36,55.0,61.3,4.58,4.62,2.82,Ideal,D,VS2,928
36121,0.36,55.0,61.3,4.58,4.62,2.82,Ideal,D,VS2,928
5948,0.97,56.0,62.2,6.34,6.29,3.94,Premium,I,VS2,3948
25976,2.09,59.0,61.2,8.31,8.22,5.06,Ideal,J,VS1,15172
25976,2.09,59.0,61.2,8.31,8.22,5.06,Ideal,J,VS1,15172
48495,0.7983089555010006,55.0,61.8,5.32,5.34,3.29,Ideal,D,VS2,1981
53829,0.73,55.0,62.6,5.75,5.78,3.61,Ideal,F,SI1,2737
17666,0.94,57.0,61.2,6.29,6.33,3.86,Ideal,F,VS2,7120
40802,0.51,55.0,60.5,5.17,5.21,3.14,Ideal,F,SI2,1169
15330,1.22,59.0,59.3,7.01,6.96,4.14,Premium,I,VS2,6156
41648,0.4,55.0,61.7,4.76,4.74,2.93,Ideal,E,VVS2,1238
4040,0.7983089555010006,62.0,61.1,6.91,6.86,4.21,Premium,E,I1,3528
16141,1.3,58.0,62.3,6.94,7.0,4.34,Ideal,I,SI1,6451
30228,0.33,60.0,61.7,4.4,4.45,2.73,Premium,E,VS2,723
35259,0.7983089555010006,57.0,60.6,4.33,4.35,2.63,Ideal,E,VVS1,895
9825,1.01,57.0,63.9,6.37,6.3,4.05,Good,G,SI1,4672
24136,2.0,59.0,61.76785962072156,7.97,5.734447312568118,3.537891143452734,Premium,J,SI1,12308
24136,2.0,59.0,61.76785962072156,7.97,5.734447312568118,3.537891143452734,Premium,J,SI1,12308
27247,1.51,57.0,62.2,7.37,7.32,4.57,Ideal,E,VS1,17649
27247,1.51,57.0,62.2,7.37,7.32,4.57,Ideal,E,VS1,17649
39117,0.41,58.0,59.2,4.83,4.8,2.85,Premium,G,VS2,1061
28799,0.27,56.0,61.8,4.17,4.19,2.58,Very Good,F,SI1,682
28799,0.27,56.0,61.8,4.17,4.19,2.58,Very Good,F,SI1,682
50701,0.53,57.42490893754073,61.4,5.22,5.2,3.2,Premium,F,VVS2,2290
12767,1.14,58.0,62.2,6.64,6.7,4.15,Premium,G,SI1,5326
12767,1.14,58.0,62.2,6.64,6.7,4.15,Premium,G,SI1,5326
22534,1.32,57.0,60.3,7.08,7.12,4.28,Very Good,F,VS1,10575
22492,1.56,59.0,58.2,7.65,7.7,4.47,Very Good,I,VS1,10523
22492,1.56,59.0,58.2,7.65,7.7,4.47,Very Good,I,VS1,10523
19549,1.02,56.0,60.5,6.55,6.48,3.94,Ideal,D,VS1,8181
16468,1.02,60.0,61.6,5.729355091583495,6.42,3.98,Premium,E,VS2,6580
42668,0.44,56.0,61.8,4.93,4.88,3.03,Ideal,E,VVS2,1334
8663,1.04,56.0,61.7,6.57,6.52,4.04,Ideal,G,SI2,4455
48396,0.64,55.0,62.2,5.51,5.55,3.44,Very Good,D,SI1,1967
23842,1.7,59.0,59.6,7.73,7.83,4.64,Ideal,E,SI2,11924
17683,1.02,57.42490893754073,61.0,6.58,5.734447312568118,4.0,Premium,G,VS1,7129
25968,2.03,57.0,62.9,8.02,8.06,5.06,Very Good,I,SI1,15153
33483,0.32,58.0,61.1,4.42,4.39,2.69,Premium,F,VS2,828
22727,1.5,60.0,59.7,5.729355091583495,7.46,4.5,Premium,I,VVS2,10744
10163,1.05,62.0,57.9,5.729355091583495,6.73,3.88,Good,F,SI1,4729
6382,0.25,59.0,62.0,4.05,4.08,2.52,Premium,E,VVS2,576
4143,0.9,57.0,62.4,6.17,6.21,3.86,Ideal,I,VS1,3545
20755,1.53,59.0,58.9,7.63,7.55,4.47,Premium,E,SI2,8996
6830,0.9,58.0,63.8,6.13,6.09,3.9,Good,D,SI1,4120
20381,0.7983089555010006,56.0,62.0,4.35,4.39,2.71,Ideal,F,VS2,625
45030,0.54,57.0,61.5,5.729355091583495,5.22,3.22,Ideal,E,SI1,1637
35202,0.33,55.0,62.1,4.44,4.41,2.75,Ideal,I,IF,891
35202,0.33,55.0,62.1,4.44,4.41,2.75,Ideal,I,IF,891
30722,0.41,55.0,63.3,4.74,4.77,3.01,Good,D,SI1,738
39574,0.46,57.0,61.3,4.99,5.02,3.07,Very Good,E,VS2,1081
45832,0.54,55.0,62.8,5.21,5.734447312568118,3.28,Ideal,E,VS2,1713
3519,0.91,59.0,63.0,6.12,6.17,3.87,Ideal,F,SI2,3405
4864,0.78,55.0,61.1,5.99,5.96,3.65,Ideal,E,VS2,3713
26584,2.24,56.0,61.4,8.38,8.43,5.16,Ideal,H,SI2,16300
26584,2.24,56.0,61.4,8.38,8.43,5.16,Ideal,H,SI2,16300
52313,0.3,55.0,60.9,5.729355091583495,4.38,2.66,Ideal,F,SI1,550
16617,1.0,59.0,61.9,6.41,6.36,3.95,Premium,F,VS2,6640
13418,1.2,56.0,61.8,5.729355091583495,6.77,3.537891143452734,Ideal,I,SI1,5510
51526,0.7,62.0,63.6,5.57,5.6,3.55,Good,E,SI1,2386
12945,1.01,57.0,60.8,6.58,6.54,3.99,Very Good,D,SI1,5386
34811,0.7983089555010006,58.0,62.4,4.72,4.67,2.93,Premium,G,SI1,878
27449,2.51,57.0,62.3,8.69,8.76,5.44,Very Good,I,SI2,18090
31453,0.34,55.0,62.7,4.49,4.48,2.81,Ideal,G,VS2,765
20837,1.52,55.4,61.2,7.38,7.45,4.54,Ideal,I,SI1,9067
4729,0.42,61.0,59.5,4.85,4.9,2.9,Very Good,G,SI2,573
4729,0.42,61.0,59.5,4.85,4.9,2.9,Very Good,G,SI2,573
22879,1.58,54.0,62.4,7.43,7.46,4.64,Ideal,I,VS1,10920
53410,0.7,58.0,62.2,5.63,5.59,3.49,Premium,F,VS1,2669
24148,1.51,63.0,60.2,7.36,7.39,4.44,Very Good,G,VS1,12317
18742,1.1,57.0,62.2,6.62,6.59,4.11,Ideal,F,VS2,7658
49569,0.71,61.0,58.3,5.84,5.79,3.39,Good,H,SI1,2131
53052,0.76,57.0,62.7,5.82,5.85,3.66,Ideal,F,SI1,2607
31806,0.31,55.0,61.1,4.37,4.4,2.68,Ideal,D,SI1,774
31806,0.31,55.0,61.1,4.37,4.4,2.68,Ideal,D,SI1,774
31806,0.31,55.0,61.1,4.37,4.4,2.68,Ideal,D,SI1,774
24041,0.38,59.0,61.8,4.61,4.64,2.86,Premium,I,VS2,633
31344,0.27,55.0,62.0,4.14,4.16,2.57,Ideal,G,VVS2,760
10719,0.31,55.0,62.5,4.34,4.3,2.7,Ideal,D,SI2,593
4252,0.91,58.0,62.5,6.13,6.19,3.85,Very Good,I,VS2,3579
21180,0.7983089555010006,58.0,60.9,7.01,7.09,4.29,Premium,G,VS1,9335
32781,0.37,60.0,61.76785962072156,4.63,4.68,2.8,Premium,D,VS1,803
32781,0.37,60.0,61.76785962072156,4.63,4.68,2.8,Premium,D,VS1,803
24603,1.75,57.0,63.8,7.63,7.53,4.84,Good,D,SI1,12918
6745,0.33,58.0,60.2,4.49,4.55,2.72,Very Good,E,SI1,579
47140,0.51,58.0,61.3,5.14,5.17,3.16,Premium,E,VS1,1831
10472,1.01,56.0,64.8,6.3,6.25,4.07,Fair,F,VS2,4791
29436,0.42,58.0,60.9,4.84,4.85,2.95,Premium,H,SI1,700
22675,1.5,57.0,61.3,7.38,7.4,4.53,Ideal,H,SI1,10725
38060,0.7983089555010006,56.0,61.8,4.65,4.67,2.88,Ideal,D,VS2,1013
38060,0.7983089555010006,56.0,61.8,4.65,4.67,2.88,Ideal,D,VS2,1013
39204,0.54,57.42490893754073,61.7,5.23,5.27,3.24,Very Good,G,SI1,1065
2781,0.9,59.0,64.1,5.97,6.07,3.86,Very Good,H,SI2,3255
10016,1.13,55.0,62.0,6.68,6.65,4.13,Ideal,H,VS2,4708
49380,0.7983089555010006,59.9,58.1,5.68,5.72,3.31,Good,G,VS2,2101
48265,0.54,53.0,61.4,5.28,5.3,3.25,Ideal,D,VS1,1955
40971,0.41,55.0,61.5,4.8,4.83,2.96,Ideal,F,VS1,1180
50330,0.83,57.0,61.5,6.08,6.03,3.72,Ideal,J,VS2,2241
9964,1.14,60.0,60.0,6.76,6.81,4.07,Very Good,J,VS1,4702
9964,1.14,60.0,60.0,6.76,6.81,4.07,Very Good,J,VS1,4702
46565,0.53,57.0,60.9,5.17,5.24,3.17,Ideal,D,VS2,1783
28126,0.29,58.0,60.2,4.29,4.35,2.6,Very Good,F,VVS2,664
29027,0.31,55.0,61.9,4.38,4.41,2.72,Ideal,H,VVS1,687
19393,1.53,59.0,60.1,7.47,7.51,4.5,Premium,J,VS1,8058
19393,1.53,59.0,60.1,7.47,7.51,4.5,Premium,J,VS1,8058
25336,1.55,55.0,61.6,7.48,7.45,4.6,Ideal,G,SI1,14039
39150,0.33,57.0,60.3,5.729355091583495,4.47,2.71,Ideal,D,VVS2,1062
19548,1.02,58.0,61.3,6.52,6.47,3.98,Premium,G,VS1,8181
29918,0.33,55.0,61.8,4.42,4.44,2.74,Ideal,H,VVS1,713
45855,0.54,55.0,62.6,5.23,5.19,3.26,Ideal,D,SI1,1715
45855,0.54,55.0,62.6,5.23,5.19,3.26,Ideal,D,SI1,1715
15124,1.19,57.42490893754073,61.3,6.82,6.78,4.17,Premium,H,SI1,6078
4946,1.01,56.0,62.4,6.44,6.38,4.0,Ideal,F,SI2,3733
30507,0.7983089555010006,55.0,63.0,4.34,4.32,2.73,Ideal,D,SI1,732
15454,1.21,57.0,62.9,6.75,6.8,4.26,Very Good,G,VS2,6189
18336,0.7983089555010006,56.0,62.2,6.66,6.59,4.12,Ideal,E,VS2,7459
36720,0.41,59.0,63.2,4.71,4.75,2.99,Very Good,E,VS1,954
28375,0.24,61.0,60.3,4.06,4.03,2.44,Premium,E,VVS1,668
46603,0.54,56.0,62.1,5.25,5.22,3.25,Premium,D,SI1,1786
24612,2.27,55.0,60.5,8.63,8.53,5.19,Ideal,I,SI2,12939
3922,0.74,56.0,59.9,5.89,5.93,3.54,Very Good,E,SI1,3497
37166,0.32,55.0,62.0,4.42,4.38,2.73,Ideal,D,VS2,972
37166,0.32,55.0,62.0,4.42,4.38,2.73,Ideal,D,VS2,972
14898,1.7,57.42490893754073,63.1,7.62,7.51,4.78,Ideal,F,I1,5998
47207,0.5,56.0,62.3,5.05,5.09,3.16,Ideal,G,VVS2,1838
7355,1.12,55.0,60.6,6.76,6.73,4.09,Ideal,D,I1,4215
14944,1.2,58.0,61.0,6.84,6.92,4.2,Very Good,H,SI1,6019
6164,1.0,61.0,59.0,6.42,6.46,3.8,Good,H,SI2,3991
49388,0.57,56.0,61.76785962072156,5.34,5.31,3.29,Ideal,D,VS2,2103
49388,0.57,56.0,61.76785962072156,5.34,5.31,3.29,Ideal,D,VS2,2103
49388,0.57,56.0,61.76785962072156,5.34,5.31,3.29,Ideal,D,VS2,2103
49388,0.57,56.0,61.76785962072156,5.34,5.31,3.29,Ideal,D,VS2,2103
23389,0.36,56.0,62.9,4.52,4.57,2.86,Very Good,E,SI1,631
23389,0.36,56.0,62.9,4.52,4.57,2.86,Very Good,E,SI1,631
3842,0.9,57.0,63.1,6.12,6.09,3.85,Very Good,I,VS2,3473
3842,0.9,57.0,63.1,6.12,6.09,3.85,Very Good,I,VS2,3473
41628,0.24,54.0,61.8,3.99,4.03,2.47,Ideal,G,IF,504
8212,1.02,59.0,62.9,6.4,6.38,4.02,Premium,G,SI2,4370
8212,1.02,59.0,62.9,6.4,6.38,4.02,Premium,G,SI2,4370
28625,0.33,55.0,61.4,4.47,4.49,2.75,Ideal,H,SI2,433
47719,0.59,55.0,62.3,5.729355091583495,5.33,3.35,Premium,H,VVS2,1886
36141,0.33,60.0,61.0,4.46,4.43,2.71,Premium,E,VS2,928
36141,0.33,60.0,61.0,4.46,4.43,2.71,Premium,E,VS2,928
36141,0.33,60.0,61.0,4.46,4.43,2.71,Premium,E,VS2,928
22934,1.4,57.0,60.9,7.22,7.29,4.42,Ideal,H,IF,10976
3635,0.71,55.0,61.8,5.71,5.76,3.55,Ideal,G,VS1,3431
5060,0.34,54.0,63.3,4.48,4.46,2.83,Very Good,F,SI2,574
26124,2.04,60.0,62.7,8.04,8.0,5.03,Premium,G,SI2,15398
26124,2.04,60.0,62.7,8.04,8.0,5.03,Premium,G,SI2,15398
19469,1.52,59.0,62.0,7.34,7.36,4.56,Premium,J,VS1,8110
13780,1.0,53.0,64.2,6.27,6.34,4.05,Very Good,H,VS1,5619
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
38563,0.5,58.0,61.7,5.07,5.11,3.14,Ideal,H,SI1,1035
25730,1.51,58.0,63.7,7.18,7.24,4.59,Good,F,VVS2,14654
25730,1.51,58.0,63.7,7.18,7.24,4.59,Good,F,VVS2,14654
51283,0.71,58.0,62.3,5.67,5.72,3.55,Ideal,I,VS2,2360
9801,0.9,55.0,62.6,6.12,6.19,3.85,Very Good,G,VVS2,4668
31661,0.38,54.5,62.1,4.64,4.69,2.9,Ideal,G,VS2,768
5816,0.8,55.0,61.3,5.98,6.0,3.67,Ideal,F,VS2,3913
41980,0.51,56.0,61.9,5.1,5.15,3.17,Ideal,D,SI2,1264
42611,0.32,57.42490893754073,62.8,4.38,4.41,2.76,Very Good,H,VS2,505
40247,0.5,61.0,63.7,5.02,4.99,3.19,Ideal,F,SI1,1125
42480,0.43,56.0,61.3,4.86,4.9,2.99,Ideal,G,IF,1318
23788,1.36,57.0,61.1,7.14,7.2,4.38,Ideal,G,VVS2,11848
39298,0.3,58.0,62.0,4.28,4.3,2.66,Ideal,I,VS1,491
27128,1.7,58.0,62.9,7.57,7.54,4.75,Premium,E,VS2,17323
27128,1.7,58.0,62.9,7.57,7.54,4.75,Premium,E,VS2,17323
52043,0.74,57.0,62.9,5.73,5.78,3.62,Very Good,H,VS2,2451
52043,0.74,57.0,62.9,5.73,5.78,3.62,Very Good,H,VS2,2451
52043,0.74,57.0,62.9,5.73,5.78,3.62,Very Good,H,VS2,2451
20252,1.46,55.0,62.0,7.32,7.23,4.51,Premium,D,SI2,8683
26930,2.06,56.0,61.76785962072156,8.12,8.17,5.05,Ideal,I,SI1,16960
26930,2.06,56.0,61.76785962072156,8.12,8.17,5.05,Ideal,I,SI1,16960
35514,0.35,56.0,61.9,4.53,4.55,2.81,Ideal,E,VVS1,905
14223,1.2,57.0,59.3,6.95,7.04,4.15,Ideal,I,VS1,5765
14223,1.2,57.0,59.3,6.95,7.04,4.15,Ideal,I,VS1,5765
1767,0.79,58.0,61.5,5.94,5.97,3.66,Very Good,F,SI1,3047
6041,0.32,57.0,60.6,4.44,4.4,2.68,Ideal,H,SI1,576
45338,0.7983089555010006,57.0,61.8,5.14,5.12,3.17,Ideal,G,VS1,1662
18695,0.4,55.0,61.6,4.73,4.75,2.92,Ideal,F,SI2,619
46635,0.3,59.0,63.7,4.21,4.27,2.7,Good,E,SI1,526
17570,1.2,55.0,62.3,6.78,6.84,4.24,Ideal,E,SI1,7074
51348,0.75,60.0,64.5,5.65,5.54,3.61,Fair,F,SI1,2363
8475,1.01,59.0,62.2,6.38,6.42,3.98,Premium,F,SI2,4416
44391,0.51,60.0,58.1,5.28,5.32,3.08,Very Good,E,VS1,1583
44391,0.51,60.0,58.1,5.28,5.32,3.08,Very Good,E,VS1,1583
42415,0.52,56.0,61.1,5.19,5.23,3.18,Ideal,G,SI1,1311
27799,0.37,59.0,59.9,4.68,4.7,2.81,Very Good,E,SI1,649
10969,0.7983089555010006,57.42490893754073,58.6,6.65,6.72,3.92,Very Good,D,SI2,4906
31116,0.38,53.0,62.4,4.67,4.69,2.92,Ideal,H,VS1,754
3306,0.7983089555010006,58.0,61.2,5.77,5.83,3.55,Premium,E,VS1,3370
25826,1.51,59.0,62.2,7.4,7.36,4.59,Premium,E,VS2,14844
42762,0.56,55.0,62.8,5.28,5.26,3.31,Premium,G,SI1,1345
14642,1.2,55.0,63.5,6.7,6.78,4.28,Good,D,SI1,5913
14642,1.2,55.0,63.5,6.7,6.78,4.28,Good,D,SI1,5913
4820,0.9,57.0,60.5,6.23,6.2,3.76,Premium,F,SI2,3704
13259,1.16,59.0,60.2,6.84,6.77,3.537891143452734,Premium,H,SI1,5480
35089,0.7983089555010006,57.0,62.3,4.25,4.29,2.66,Ideal,F,IF,886
14737,1.09,55.0,61.1,6.66,6.7,4.08,Ideal,E,SI1,5935
17704,0.31,56.0,63.7,4.3,4.33,2.75,Good,H,VVS1,612
33117,0.31,57.0,62.5,4.31,4.36,2.71,Ideal,G,VVS1,816
41260,0.31,59.0,59.5,4.45,4.39,2.63,Premium,H,SI2,501
41260,0.31,59.0,59.5,4.45,4.39,2.63,Premium,H,SI2,501
16380,1.18,55.3,62.6,5.729355091583495,6.79,4.24,Ideal,I,VS1,6541
9571,1.0,61.0,62.2,6.36,6.3,3.94,Premium,D,SI2,4626
9571,1.0,61.0,62.2,6.36,6.3,3.94,Premium,D,SI2,4626
28284,0.32,59.0,62.2,4.37,4.41,2.73,Premium,J,SI1,365
42733,0.51,55.0,62.0,5.12,5.14,3.18,Ideal,E,SI1,1343
2770,0.7983089555010006,56.0,63.3,5.7,5.64,3.59,Very Good,F,VVS1,3252
2770,0.7983089555010006,56.0,63.3,5.7,5.64,3.59,Very Good,F,VVS1,3252
42844,0.41,57.0,61.7,4.8,4.77,2.95,Ideal,F,VVS1,1356
51451,0.6,59.0,60.8,5.49,5.43,3.32,Premium,H,VS1,2376
51069,0.54,57.0,61.3,5.29,5.24,3.23,Ideal,F,VS2,2333
362,0.75,58.0,60.6,5.85,5.9,3.537891143452734,Very Good,H,VVS1,2806
17136,1.06,58.0,62.3,6.52,6.49,4.05,Premium,E,VS2,6838
47804,0.72,56.0,60.9,5.87,5.78,3.55,Ideal,H,SI2,1901
41268,0.31,54.0,61.3,4.39,4.46,2.7,Ideal,I,VS1,502
49364,0.72,57.0,61.4,5.76,5.8,3.55,Ideal,J,VS2,2099
25164,1.7,61.0,62.5,7.54,7.47,4.69,Premium,G,SI1,13737
42694,0.54,58.0,62.6,5.16,5.19,3.24,Very Good,H,VS2,1338
49167,0.71,59.0,62.6,5.64,5.6,3.52,Premium,F,SI2,2072
51213,0.7,57.0,61.9,5.69,5.734447312568118,3.51,Ideal,G,SI1,2352
17446,0.7983089555010006,58.0,60.3,6.93,6.96,4.19,Very Good,H,SI1,6997
51211,0.71,59.0,62.2,5.68,5.64,3.537891143452734,Ideal,H,VS2,2352
36312,0.32,58.0,62.9,4.37,4.34,2.74,Premium,H,VVS1,936
36312,0.32,58.0,62.9,4.37,4.34,2.74,Premium,H,VVS1,936
9176,1.0,61.0,58.3,6.54,6.59,3.83,Very Good,D,SI2,4543
20628,1.0,54.0,60.6,6.56,6.52,3.96,Premium,F,VVS2,8924
34927,0.28,60.0,62.6,4.12,4.15,3.537891143452734,Good,E,SI1,373
244,0.76,54.0,63.7,5.76,5.85,3.7,Good,E,SI1,2789
37042,0.34,56.0,62.0,4.45,4.49,2.77,Ideal,F,VVS1,967
53523,0.77,57.0,62.3,5.88,5.91,3.67,Ideal,E,SI2,2689
1177,0.7,58.0,60.3,5.7,5.74,3.45,Premium,E,VS1,2930
6863,0.89,55.0,62.1,6.15,6.18,3.83,Ideal,F,SI1,4127
40533,0.38,60.0,62.5,4.61,4.64,2.89,Premium,G,IF,1148
5458,0.76,59.0,60.6,5.85,5.94,3.57,Very Good,E,VVS2,3833
